dateLogged,day,sleepDuration,activeCalories,floors,maxHeartRate,minHeartRate,moderateIntensityMins,restHeartRate,calories,distance,steps,vigourousIntensityMinutes,VO2MAX,weight,beers,virus,predictVirus,score
6-May-17,Saturday,8,320,0,130,39,8,43,2439,6.6,7796,9,64,77.7,3,N,N,0.00
5-May-17,Friday,5.4,155,0,112,45,0,59,2275,3,3600,0,64,76.7,0,Y,Y,97.40
4-May-17,Thursday,7,926,3,179,43,4,55,3046,11.6,11587,25,64,78.4,3,N,N,11.21
3-May-17,Wednesday,9.3,638,6,143,40,3,54,2758,12,12236,24,64,79,0,N,Y,69.74
2-May-17,Tuesday,7.4,428,4,135,42,0,49,2548,7.4,8870,0,64,78.1,0,N,N,0.05
1-May-17,Monday,9,380,7,138,40,6,47,2490,6.2,7259,14,64,78.4,0,N,N,0.00
30-Apr-17,Sunday,10,479,20,124,41,0,48,2592,10.4,12262,0,64,77.7,3,N,N,0.51
29-Apr-17,Saturday,10,459,13,135,43,3,51,2563,11.5,11855,8,64,77.1,2,N,N,2.84
28-Apr-17,Friday,8.9,672,0,173,42,1,50,2789,9,9637,12,64,78.8,3,N,N,1.60
27-Apr-17,Thursday,6.2,455,1,128,45,0,52,2564,7.9,9469,0,64,77.5,2,N,N,3.18
26-Apr-17,Wednesday,8.8,87,5,119,41,0,48,2196,4.7,5611,0,63,77.5,1,N,N,2.16
25-Apr-17,Tuesday,7.4,257,5,132,41,0,45,2366,6.9,8027,0,63,77.5,2,N,N,0.00
24-Apr-17,Monday,7,220,5,128,41,0,51,2329,6.5,7841,0,63,77.5,0,N,N,0.03
23-Apr-17,Sunday,9.2,431,8,130,44,0,45,2540,7.9,9422,0,63,77.5,0,N,N,0.29
22-Apr-17,Saturday,8.3,2950,35,184,42,13,51,5059,36.9,34041,112,63,77.5,12,N,N,0.00
21-Apr-17,Friday,9.2,279,1,127,33,0,43,2388,7.4,8877,0,63,77.3,0,N,N,0.01
20-Apr-17,Thursday,9,387,3,122,39,0,39,2486,8.2,9785,0,63,76.7,0,N,N,0.00
19-Apr-17,Wednesday,8.7,1244,6,162,45,11,45,3336,17.3,17396,71,63,77.5,0,N,N,0.02
18-Apr-17,Tuesday,8.2,883,18,141,42,0,52,2985,13.6,15199,0,63,77.7,2,N,N,0.15
